,Name,Artist,Weeks.on.chart,Peak.position
603,Controlla,Drake,26,16
604,Cool,Gwen Stefani,20,13
605,Cool,Jonas Brothers,12,27
606,Cool For The Summer,Demi Lovato,20,11
607,Cool Girl,Tove Lo,5,84
608,Cool Kids,Echosmith,23,13
609,Cop Car,Keith Urban,18,41
610,Cost Of Livin',Ronnie Dunn,8,86
611,Cough Syrup,Young The Giant,3,95
612,Could It Be,Jaheim,20,26
613,Counting Stars,Onerepublic,68,2
614,Country Boy,Alan Jackson,19,49
615,Country Man,Luke Bryan,9,74
616,Country Must Be Country Wide,Brantley Gilbert,21,50
617,Country Song,Seether,18,72
618,Cowboy,Kid Rock,5,82
619,Cowboy Casanova,Carrie Underwood,20,11
620,Cowboys And Angels,Dustin Lynch,22,40
621,Cowboys Like Us,George Strait,19,38
622,Cowgirls Don'T Cry,"Brooks, Dunn",20,44
623,Cozy Little Christmas,Katy Perry,2,53
624,Crack A Bottle,"Eminem, Dr. Dre, 50 Cent",17,1
625,Crash,Gwen Stefani,8,49
626,Crash And Burn,Savage Garden,20,24
627,Crash And Burn,Thomas Rhett,20,36
628,Crash My Party,Luke Bryan,21,18
629,Crawl,Chris Brown,9,53
630,Crawling,Linkin Park,20,79
631,Crawling In The Dark,Hoobastank,19,68
632,Crazier,Taylor Swift,8,17
633,Crazy,Gnarls Barkley,29,2
634,Crazy Bitch,Buckcherry,20,59
635,Crazy For This Girl,Evan And Jaron,23,15
636,Crazy Girl,Eli Young Band,36,30
637,Crazy Town,Jason Aldean,17,51
638,Criminal,Britney Spears,6,55
639,Criminal,"Natti Natasha, Ozuna",3,95
640,Cruise,Florida Georgia Line,54,4
641,Crush,David Archuleta,23,2
642,Crushcrushcrush,Paramore,17,54
643,Crushed Up,Future,5,43
644,Crushin' It,Brad Paisley,15,66
645,Cry,Faith Hill,26,33
646,Cry For You,September,10,74
647,Cry Me A River,Justin Timberlake,20,3
648,Crying In The Club,Camila Cabello,9,47
649,Crying Out For Me,Mario,20,33
650,Crzy,Kehlani,5,85
652,Cupid Shuffle,Cupid,13,66
654,Daddy Won'T Sell The Farm,Montgomery Gentry,6,79
655,Damaged,Danity Kane,22,10
656,Dance Tonight,Lucy Pearl,19,36
657,Dance With Me,112,20,39
658,Dance With Me,Debelah Morgan,29,8
659,Dance With My Father,Luther Vandross,20,38
660,"Dance, Dance",Fall Out Boy,31,9
661,Dancing On My Own,Calum Scott,2,93
662,Dancing With A Stranger,"Sam Smith, Normani",24,7
663,Danger,Erykah Badu,11,82
664,Dangerous Woman,Ariana Grande,21,8
665,Dani California,Red Hot Chili Peppers,26,6
666,Danza Kuduro,"Don Omar, Lucenzo",5,82
667,Dare,Gorillaz,5,87
668,Dare You To Move,Switchfoot,20,17
669,Dark Necessities,Red Hot Chili Peppers,2,67
670,Dark Queen,Lil Uzi Vert,2,91
671,Dark Side,Kelly Clarkson,15,42
672,Darte Un Beso,Prince Royce,12,78
673,Dashboard,Modest Mouse,6,61
674,Daughters,John Mayer,23,19
675,Day Drinking,Little Big Town,20,40
676,Daylight,Maroon 5,25,7
677,Daylight,Matt And Kim,2,95
678,Days Go By,Dirty Vegas,20,14
679,Days Go By,Keith Urban,19,31
